AE1_latent_0,AE1_latent_1,AE1_latent_2,AE1_latent_3,Gap
-0.9505684,-0.35269743,0.4424314,1.8028822,1.2178123
-1.2658982,0.016207337,0.6516221,1.180402,1.3574101
-1.2601981,0.08297348,0.54353416,1.1857967,1.4062004
-1.0635018,-0.22553015,0.2837175,1.7136517,1.3550795
-0.9996435,-0.25834262,0.32505667,1.7264496,1.3067703
-0.9648953,-0.3902369,0.4571911,1.7028425,1.1966239
-1.0594351,-0.18723482,0.21234769,1.6968225,1.3941865
-1.083399,-0.15370661,0.13468152,1.678004,1.4262195
-0.981131,-0.29176432,0.46242064,1.7251458,1.2483689
-1.0159805,-0.2419523,0.36743486,1.7375942,1.3066564
-1.0448859,-0.23684943,0.32094616,1.7249464,1.331408
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
0.003815174,-0.60400134,0.2745238,1.5176495,1.0366154
-0.8587734,-0.57846826,0.5389489,2.0530972,1.0770249
-0.76125723,-0.76689583,0.5530144,1.9801989,0.99685526
-0.51126426,-0.9513356,0.5165533,1.8159505,0.9527737
-0.23593426,-0.8672063,0.34822267,1.6420887,0.96958244
-0.09994799,-0.81726307,0.25722092,1.560331,0.9803755
0.22072247,-0.46960717,0.15509695,1.4213115,1.1326308
0.514047,-0.14138854,0.030663788,1.2978948,1.3795733
-0.28688604,-0.9081158,0.040963084,1.5567136,0.9656718
-0.1127792,-0.8649165,0.09354824,1.4791008,0.96997935
-0.0352661,-0.8208931,0.0440017,1.4164585,0.97800136
-0.0942893,-0.6418827,0.23948109,1.254324,1.0387352
-0.23593426,-0.8672063,0.34822267,1.6420887,0.96958244
-1.1538913,0.035999596,0.22700256,1.5171336,1.471405
-0.9806619,-0.34004086,0.6447702,1.7412081,1.1919398
-1.1207044,-0.08317995,0.72436255,1.447724,1.3085172
-1.2893381,0.1361152,0.75351006,1.1493466,1.3764489
-1.3252847,0.2727189,0.7662104,1.0783328,1.4211035
-1.482538,1.1142642,0.48191774,0.71992666,1.8273201
-1.6873462,1.4013491,0.4325493,0.43090442,1.9622877
-0.84709185,-0.5337941,0.49171323,2.036987,1.106171
-1.1220827,-0.17058891,0.6169847,1.4261537,1.3014412
-1.303921,0.15206945,0.6639765,1.1097779,1.4020236
-1.4244013,0.91150373,0.42210966,0.7779708,1.7568699
-1.6278386,1.2111176,0.37536842,0.47955224,1.892127
-0.848576,-0.5328725,0.40415877,2.010497,1.1218383
-1.1095207,-0.22341996,0.47099596,1.3967903,1.3144989
-1.2394638,-0.08697963,0.5439494,1.2059954,1.3452516
-1.2769473,0.028332472,0.5822262,1.1290728,1.3762202
-1.3786802,0.7304617,0.36451262,0.835076,1.6949689
-1.5639684,1.0327069,0.33228642,0.46864712,1.8276744
-0.82498795,-0.5108817,0.3055758,1.9773442,1.1465621
-0.9140311,-0.3534146,0.26621217,1.6385428,1.2551813
-1.0508597,-0.22891736,0.3160637,1.3556377,1.3424013
-1.159323,-0.11787218,0.3970754,1.2040306,1.3636515
-1.2086234,-0.05319214,0.4924724,1.1218839,1.3637693
-1.311306,0.59008026,0.28830135,0.8696596,1.6543515
-1.5135183,0.8871094,0.2518111,0.44519922,1.7856872
-0.71314806,-0.17329514,-0.040890694,1.8300143,1.4048839
-0.7742987,-0.023389459,-0.088024855,1.5114322,1.5026631
-0.92776316,-0.007217109,0.006953418,1.2685503,1.4855158
-1.045157,0.0998677,0.10044956,1.108549,1.4994619
-1.1192434,0.17984897,0.15518689,1.0131781,1.5151849
-1.198658,0.39606798,0.09878969,0.77993226,1.6175247
-1.3607359,0.7458405,0.006059378,0.3903677,1.7842656
-0.70667046,-0.002919197,-0.2104149,1.4758563,1.5334272
-0.87560064,-0.07322514,-0.03334242,1.2629536,1.4668913
-0.99443215,0.012856603,0.035476267,1.0906245,1.4807427
-1.0800209,0.10469061,0.07816535,0.937714,1.5010884
-1.1646113,0.27385038,0.065959215,0.73176324,1.573976
-1.2696717,0.691834,-0.12942855,0.36390057,1.7949517
-0.97995204,-0.3589459,0.5215457,1.6962538,1.2032145
-0.9780007,-0.35982245,0.5294002,1.7043077,1.2012371
-0.9760502,-0.3606978,0.53725475,1.7123605,1.1992608
-0.97409874,-0.36157376,0.54510885,1.720413,1.1972841
-0.9711148,-0.3654402,0.54320097,1.72645,1.1953286
-0.9721473,-0.3624497,0.55296373,1.7284669,1.1953074
-0.9810036,-0.29944855,0.39040053,1.7263818,1.2571237
-0.97751766,-0.32919723,0.4584434,1.7268809,1.2295569
-0.97635573,-0.33911294,0.4811247,1.7270476,1.2203681
-0.8986364,-0.53699046,0.43537962,2.042681,1.1217257
