UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
1.5924475,5.405994,1.5889032,1.59
0.5487502,5.57953,1.495394,1.48
7.8711905,6.5445156,4.876538,4.85
7.6961627,6.160462,4.7443085,4.62
-0.8898703,4.933588,3.811003,3.8
-4.2216425,5.8795033,0.8466913,0.79
-5.246094,3.8031588,0.5514698,0.47
-1.3550631,5.72003,3.7903035,3.78
0.5414623,2.2100825,3.6900296,3.7
-3.9790707,5.1649423,0.5797353,0.54
-4.598679,5.023793,0.6006367,0.58
-4.8814373,4.1512284,0.4300656,0.46
8.938506,8.120361,1.0736598,1.1
-1.2927693,5.854141,3.6785414,3.55
-4.698307,5.1993785,0.7810029,0.71
-1.7669777,5.4134197,4.1922307,4.16
-0.92592573,3.6249824,4.8559923,4.65
-4.2989445,3.4455347,0.5082558,0.49
-5.1761923,3.781269,0.5322232,0.46
8.21175,6.442626,4.45283,4.46
-1.2507497,4.033172,4.366942,4.35
0.62163514,5.482566,1.439405,1.44
-5.2816243,5.3220005,0.9943724,0.93
8.26414,7.126278,1.6498911,1.72
11.682666,-1.7193686,3.4940903,3.51
-1.48349,5.5270605,3.9528115,3.93
7.986887,7.1669326,1.8854167,2.11
-1.6074089,5.4113913,4.0863547,4.02
9.000542,7.0418653,3.8839834,3.93
8.539808,6.5674953,4.264565,4.27
-3.2585914,2.9148545,3.2548263,3.29
9.04692,6.4078493,3.7468464,3.78
7.8950105,6.236321,4.545678,4.57
8.751437,6.260169,3.967468,3.94
0.3297343,5.738928,1.8905356,1.89
-4.0913563,5.661051,0.6690929,0.7
-1.27434,5.8854795,3.3235412,3.32
9.0792465,8.23749,0.9666848,1.03
-4.2326565,5.4082103,0.6881575,0.67
10.104022,-2.04712,2.2038152,2.23
11.74794,-1.7806128,3.471151,3.53
12.838161,-2.8245487,4.4429917,4.31
12.734405,-2.6679432,4.327189,4.29
11.757788,-1.7755215,3.595212,3.54
12.699295,-2.2426572,4.1594353,4.02
10.201769,-2.1476204,2.5693598,2.64
11.312929,-1.8832176,3.294207,3.39
6.6084485,5.7960815,2.2716815,2.3
10.124652,5.3304777,1.8644302,1.89
8.656678,4.9113216,2.1219323,2.26
9.045001,4.7848773,2.0590942,2.09
10.478932,5.5639315,1.8200235,1.83
9.28469,4.9116797,1.9301019,1.98
1.8772804,3.112517,3.5276008,3.72
1.8377312,3.0192106,3.5280688,3.5
1.0566189,2.9945922,4.1278286,4.07
1.1712409,2.9444163,3.884225,3.9
1.4015208,2.971922,3.6716611,3.6
0.20526633,2.5624874,4.035949,4.01
0.23802857,2.8355527,4.873383,4.47
0.20139776,2.4332051,3.7762692,3.65
-5.416497,5.3096604,0.8790066,1.69
-1.9289277,5.1509647,4.4722557,4.64
-2.393918,3.1496978,3.39916,3.74
-2.4483132,3.0958529,3.3656924,3.8
-1.773626,4.0136228,3.9584005,3.79
-1.8111491,3.9792585,3.7759972,3.93
-2.003264,3.6933036,3.6043756,3.61
-1.2987986,3.092401,3.8359935,3.81
-1.2916158,3.146226,3.9534762,3.52
-1.14838,3.3753808,4.263528,4.25
-1.4747751,2.968419,3.6576765,3.78
-1.4329846,2.9110396,3.7489462,3.77
11.954272,-2.6792562,2.206368,2.16
10.492316,5.564814,1.8799851,1.87
9.717005,7.1604576,3.6753128,3.69
11.504628,-1.8240509,3.7554812,3.59
9.216564,8.180791,1.0568523,1.11
10.609185,6.076116,1.2802238,1.28
10.705657,5.922921,1.4802046,1.41
11.295618,-2.4675033,1.0985386,1.22
10.988806,-2.418347,1.3418994,1.29
10.587679,-2.3584898,1.7242177,1.53
10.514471,5.5905704,1.8102818,1.79
10.419688,5.50047,1.83235,1.87
9.419299,4.968061,1.9067941,1.95
1.8737106,4.996423,1.574789,1.52
1.8697631,5.004515,1.603898,1.6
1.8115762,5.1998615,1.6256444,1.63
1.8308774,4.237697,0.9871395,0.97
-5.1862435,3.6345532,0.5655061,0.56
-5.2424393,4.8379054,0.6051878,0.6
-5.269583,4.8028407,0.7564547,0.61
12.3329525,-2.7725134,2.8887563,3.048
12.426546,-2.352941,2.121611,2.11
11.3165655,-2.516692,1.5032682,1.467
12.283353,-2.7695136,2.470085,2.465
12.325189,-2.4434512,1.3540256,1.341
10.260417,-2.2042913,2.619856,2.611
12.763006,-2.7355156,4.535365,4.708
