AE1_latent_0,AE1_latent_1,AE1_latent_2,AE1_latent_3,Gap
0.024843276,3.4698951,-2.3649776,-1.7211643,3.7214975
0.9585989,1.9304242,-3.6646876,-0.5056252,3.4903595
0.22927457,2.9000628,-2.4422567,0.04220993,3.51547
1.5887219,1.823947,-2.624838,1.9887465,3.1770363
-2.4456296,1.8407605,-0.08309206,-1.4217454,2.357342
-1.785764,1.538969,0.41933495,0.27414083,2.0360947
-0.25582325,1.4101299,-4.117215,-0.003468494,3.323883
-1.239356,2.2852566,-5.0960383,-1.3204271,3.9520845
2.0703716,0.6809466,-6.3240294,0.91820943,3.7092714
0.6324675,2.04382,-2.279695,1.9575416,3.1228473
-0.17873329,1.2840598,-3.5489461,2.078768,3.1021616
0.5438031,2.9213736,-2.8939528,-0.11833269,3.67635
1.0634694,3.1560915,-3.069697,-0.21311387,3.8601334
-1.8878412,2.3514698,-0.8060242,-1.5121933,2.658349
-0.27526808,1.4063772,-0.62632304,-0.5771453,2.2807155
-0.22248608,1.4499353,-5.448926,-0.36511526,3.7235117
0.7518094,2.5418031,-3.2406874,2.551962,3.6409721
-0.32022697,1.1188312,-6.372949,2.277613,3.8195386
-1.7848287,2.6931667,-5.323206,-1.0363759,4.172431
0.37105206,0.560257,-5.7934628,1.675159,3.4220357
-2.1867561,2.576357,-5.218227,0.571528,4.077686
-0.6893143,1.9207284,-5.7445917,-1.9818722,4.0128946
1.9925075,2.2461905,-2.1581159,2.6341941,3.2537045
0.6625386,2.6757865,-2.6708689,-0.09395101,3.5076852
-0.45164472,3.0732646,-5.2209992,0.3597647,4.390402
-2.8282206,2.4585612,0.2740494,-1.1449834,2.58417
0.77323115,1.1338598,-6.537432,1.6373557,3.9245696
0.53088045,1.309865,-6.5437565,1.0874174,3.999938
1.9170761,1.0578973,-6.6901693,1.0748501,3.985159
-0.16982138,1.7614341,-5.83417,2.2624202,3.978705
1.3659403,2.292023,-6.06882,-0.34704697,4.3724813
-0.15636975,1.7779152,-4.673275,2.1812813,3.6573222
2.209025,1.0758034,-6.7851963,0.96232235,4.034294
1.9767511,1.2870628,-6.7051125,0.49592248,4.1021485
-0.21298629,2.0164015,-4.906527,-1.8640643,3.8287656
1.1478264,1.6632385,-6.0057406,1.4998422,4.0424037
0.4538392,1.4854605,-6.665678,0.9077275,4.1148534
1.0470747,1.6881471,-6.010219,1.575971,4.050775
0.26686835,-1.6893768,-1.9556279,-1.7115105,1.4291418
-0.8864643,1.61692,-0.54987156,-1.385284,2.3124976
-0.06003797,2.312802,-5.492398,2.2575839,4.1486325
1.116091,1.8719299,-5.8745046,1.577752,4.102694
-1.1913781,4.876983,-2.294298,-1.0351952,4.2594748
0.5460429,3.3823335,-2.974882,-0.07673804,3.9043543
2.3077755,1.5994158,-6.189346,0.9565237,4.1183553
-0.31549972,3.9434788,-2.360369,0.19722681,3.922701
0.32510656,2.4683595,-5.3949213,2.0415552,4.212851
-0.022723138,2.4891548,-5.3922486,2.2516468,4.205697
2.3241854,1.7881229,-6.046277,0.9411749,4.168165
0.01685369,2.7824912,-5.74981,-1.890039,4.4319057
-0.2555983,1.68923,-4.61169,-0.04468593,3.5971675
-1.757185,2.8503609,-6.641434,-1.2233608,4.637445
1.2845945,2.545552,-5.5850563,1.5392493,4.3483353
0.30105877,2.6057744,-6.388781,-2.0726929,4.5598125
1.4782116,3.1294172,-4.8635473,1.6144325,4.4203005
0.3375178,4.0185804,-3.5175233,2.4857538,4.352561
1.478118,3.135707,-4.8521175,1.6129234,4.419633
0.65796614,4.3370194,-3.0542758,-2.0530548,4.342963
-1.2461085,2.5112534,-6.937947,0.5315957,4.6027603
2.4261484,2.4432144,-5.7350698,0.8646367,4.395895
0.14558071,4.450801,-3.691046,2.0837195,4.58235
2.7994232,3.4909298,-4.33597,1.0833963,4.4900074
0.56679153,3.6717715,-4.298418,2.1810303,4.4443126
-0.63828903,3.0619864,-6.2927446,0.44981015,4.6973205
0.01605916,2.35427,-6.971663,-0.08896949,4.5965447
2.750931,3.010804,-5.0867543,1.0061034,4.4960504
-0.048340917,2.613213,-7.2948556,-0.063369185,4.8084884
-1.0315709,3.1839733,-6.3500705,0.6504754,4.7483077
0.06430769,4.3692985,-4.375701,1.4492661,4.7433877
-0.546671,3.579012,-6.3763776,-1.6465603,4.942236
2.5363288,4.476882,-3.8349295,0.38954175,4.7561207
0.002424479,2.6703122,-7.100422,-0.002142939,4.7825685
2.7603726,2.9750464,-5.078931,1.0035717,4.4772696
0.3255201,3.004467,-6.6145916,0.1282742,4.817818
1.3564141,2.681469,-7.5299935,-0.6885261,4.9730754
1.5191201,2.8450549,-5.3562636,-0.42113033,4.432081
-0.789669,4.0252733,-5.7702007,0.4511711,4.957368
-0.38171583,3.4186535,-7.608662,-0.9266374,5.254534
-0.996463,4.08362,-5.7335777,0.5456974,4.961522
1.7035766,3.1512797,-6.8072395,-0.500239,5.006527
-0.00190419,3.7900498,-6.8906903,-0.6998542,5.2250285
0.15249115,5.122137,-3.351551,-1.88058,4.7521586
-0.57462364,5.022394,-3.045753,-1.6793783,4.5783625
0.20606074,4.8630204,-3.1471734,-1.993038,4.5787473
-1.896177,4.016569,-7.5137887,-0.9105323,5.4079833
-0.4897688,5.3825583,-4.8352027,0.6540244,5.29317
0.5632763,4.7170124,-5.503838,-0.008264883,5.252963
-0.7894018,6.153218,-4.385507,0.50188315,5.4808836
0.8538731,5.5291495,-5.1468096,-0.025443286,5.519762
1.8811076,3.97622,-6.3551726,-0.6277749,5.249034
-1.7428334,4.7417307,-6.9761,-0.74761504,5.575919
-1.7611792,4.857679,-6.93761,-0.7735623,5.614358
2.3001955,5.315441,-5.147112,-0.64790493,5.500213
2.2017574,5.8519244,-4.508871,-0.71281636,5.5397367
2.3109396,5.2762814,-5.236027,-0.657855,5.5101233
-0.8131128,4.1965,-7.8308825,-1.6267551,5.6365643
0.8076239,6.0241446,-4.3699965,-0.043076426,5.5025396
-0.6899542,4.2537627,-7.928572,-1.7162203,5.6972246
0.046608448,4.209232,-7.9323673,-1.9865727,5.716877
0.15505177,6.9805083,-4.5692067,-1.1199656,5.942081
-0.39173466,4.7415977,-7.315478,-1.5560653,5.7457037
-1.2497759,6.4480257,-5.213119,-0.55496335,5.827633
-1.8886507,5.926572,-6.5075784,-1.0324478,5.9482775
0.8128976,4.57394,-8.410888,-2.3596714,6.0603724
0.7883721,7.198684,-4.681053,-1.7299201,6.1023526
0.7814549,5.108753,-7.775995,-2.3239844,6.104413
-0.6446758,7.0914807,-4.557898,-0.98567504,5.9451265
-0.2524132,6.091485,-6.8450007,-1.7479799,6.206422
0.9616787,5.1779346,-7.8526134,-2.4437554,6.166938
-1.3655531,6.6207175,-5.287712,-0.748977,5.9186716
1.0399535,5.4047613,-7.736469,-2.4540944,6.236363
0.008812308,7.1265755,-5.838829,-1.6976293,6.3757334
1.4546058,6.504386,-6.606726,-2.3357348,6.405949
1.42874,6.4979916,-6.6225986,-2.3721952,6.406255
1.4456687,6.5284743,-6.608537,-2.3364558,6.416629
1.5811079,7.2534127,-6.167073,-2.3902285,6.6110754
1.1543422,6.1980515,-7.4549294,-2.588176,6.5072765
2.073947,-1.2372832,2.4308603,-0.010126281,0.98018575
1.3637211,-0.7628774,1.9744539,-1.757445,1.4902241
0.65097535,0.29659477,1.9223475,-2.9896278,2.013213
1.4495236,-1.8397102,1.5711205,0.89975035,0.7103511
0.576297,-1.0283906,1.2538998,-0.83666617,1.2181019
-0.2108258,0.679691,1.4908643,-2.5580876,2.0392992
0.64870536,0.6259406,3.0068579,0.48897052,1.5358644
-0.042609274,1.857918,2.6960342,-1.2645067,2.1203926
-1.0541325,3.247245,2.5248723,-2.8019648,2.7953012
2.1776443,-1.8123751,2.2324553,0.13072903,0.89963675
1.257679,-1.0497484,2.2598488,-1.8352476,1.5000315
0.56327325,0.004240871,2.055514,-3.4338245,2.0675917
1.4232932,-2.1836092,2.0168366,1.0743725,0.6178188
0.118900776,0.16071653,2.4541466,-1.3045329,1.729912
-0.6809637,2.0620716,2.5792923,-3.4058943,2.631567
0.4521454,1.3491113,3.6673975,0.6357159,1.7291193
-0.29487377,3.6874762,3.6240466,-1.6922903,2.6944225
-1.4198112,5.157781,3.5999444,-3.519299,3.469655
-1.5199699,-6.667785,2.6799667,2.3002815,0.7385664
-3.4542663,-6.0822186,2.8741639,-0.19214465,1.166808
-4.8613324,-4.0875125,2.3126843,-3.2672205,2.0080612
1.3032167,-3.7543044,1.0616102,0.4106287,0.44311798
0.25258893,-4.18516,1.4288912,-1.3152763,0.79113597
-0.8268673,-4.474776,1.3951766,-2.910859,1.0395259
-0.24793965,-6.5285416,2.1145928,0.38932902,0.6787449
-1.0381503,-6.005243,2.1482487,-1.1288607,0.9003712
-2.0777092,-5.002411,1.8493171,-3.3396504,1.3132999
-0.96473783,-0.16802031,1.2157414,1.7221903,1.2015591
-1.7231531,0.06125748,1.5070853,0.081583306,1.5277324
-2.5733795,0.9916019,1.535985,-1.406603,2.0965455
-0.03392458,-1.1926429,1.4054351,1.6793245,0.8814814
-0.65235,-0.82176,0.99510616,-0.10649469,1.2306337
-1.2255001,0.21674836,0.6387473,-1.2605273,1.7032444
0.36446983,-0.8117115,1.7444956,1.2225945,0.95070076
-0.10319561,0.22039121,0.81743664,-0.4514252,1.4793162
-0.64382035,1.013968,0.8186968,-1.672494,1.9200892
-1.1589792,-1.7531543,1.6561322,1.9129746,0.8927079
-1.8256156,-1.1700356,1.8529551,0.29644915,1.3747009
-2.928822,0.04719466,1.9334462,-1.5283045,1.985076
