UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
7.917207,12.994914,3.7582312,3.79
9.06031,12.588181,3.1202364,3.16
8.195878,13.251822,4.8151436,4.47
8.453567,12.928555,3.5459733,3.56
8.077432,13.173553,4.480453,4.31
7.945076,12.998098,3.5838075,3.64
-3.7861097,7.709422,1.9824461,1.9
-3.8184147,7.62171,1.9502984,1.94
-3.830101,7.6495357,1.6746091,1.7
-3.8641388,7.6535726,1.6120209,1.55
-3.8430476,6.1052065,2.1329994,2.14
-3.7291615,6.134829,2.161294,2.17
-3.743805,6.1095495,1.9591388,2.08
-3.7633753,6.15055,1.7970507,1.8
-0.84303737,5.696721,2.6718335,2.68
-0.91653675,5.6912456,2.6738758,2.74
-0.9514294,5.7708063,2.2932696,2.39
-0.87323344,5.7613697,2.1967082,2.21
6.3855534,-3.247036,3.9583702,4.03
7.994851,0.32876778,0.56515527,0.55
9.723028,-3.5856361,1.6903759,1.62
7.2597218,-3.6825006,3.6485338,3.6
9.726011,-3.515811,1.812663,1.78
5.8730335,0.90068996,0.89510345,1.62
6.1529994,-3.7633317,3.8333063,3.85
5.7153506,-2.9913719,4.8482985,4.93
4.9231043,-3.551735,4.128135,4.19
7.018828,1.0296729,0.59981763,0.5
6.41148,-3.3052,3.8590016,3.71
7.011831,1.3358691,0.9895917,0.91
9.742329,-3.5660567,1.7336496,1.69
7.0052333,1.1183699,0.74654806,0.68
6.030971,-3.754184,4.12488,4.19
-1.2565534,6.7725263,4.640777,4.73
5.6712074,0.58475506,0.802044,0.77
5.1389637,-1.9969573,4.039078,4.09
7.2277718,-2.306682,3.3181076,3.26
7.5148377,0.68185437,0.6610975,0.62
-2.263642,7.394378,3.6668863,3.66
9.374536,-3.0382583,1.5759723,1.53
9.197564,-3.1939256,1.4806365,1.45
5.9463816,0.48013526,0.6286298,0.61
-0.7678503,7.2547655,1.9226521,1.98
5.587189,0.22796914,0.64904845,0.62
7.472013,-2.0299892,3.2664337,3.18
6.043705,-2.429447,4.030805,4.07
7.245869,0.55614173,0.80052686,0.79
-1.9144044,8.76707,1.0750626,1.09
9.603534,-2.6973765,1.9834372,1.97
7.7543907,-2.6423883,3.3642788,3.27
5.55224,0.5481317,0.81939864,0.75
7.933533,-0.8544484,0.49837366,0.45
9.467644,-3.0373867,1.6333612,1.59
9.336535,-2.7957437,1.5425154,1.48
-1.3731596,6.661513,4.8713064,4.85
-1.466495,6.9153285,4.7146826,4.62
5.255399,-1.8683922,3.7906194,3.8
5.391842,0.23445064,0.8203163,0.79
8.127877,0.18597053,0.5146788,0.47
6.0576844,-1.221815,3.7372346,3.78
6.657966,-3.7402313,3.7003899,3.7
5.6622486,0.18435074,0.5743614,0.54
7.462182,0.68798923,0.61038196,0.58
7.616914,0.45680457,0.541813,0.46
-1.9500315,8.711867,1.1326507,1.1
6.2245646,-1.1488357,3.5585074,3.55
7.3332486,0.8234176,0.7379154,0.71
5.5576234,-1.3901423,4.142334,4.16
5.695738,-2.4070835,4.701932,4.65
8.104467,-0.98327833,0.53790385,0.49
8.030846,0.28799984,0.53833604,0.46
-1.2521536,7.0528903,4.427063,4.46
4.9215946,-2.0733995,4.388137,4.35
9.208609,-2.8618426,1.526739,1.44
5.789812,1.0958589,0.973952,0.93
-0.84904444,7.4986906,1.5562977,1.72
9.01835,12.920704,3.4994564,3.51
5.713759,-1.2202991,3.9104376,3.93
-0.5911092,6.8740215,1.835848,2.11
5.596997,-1.4436549,4.0281496,4.02
-2.1753323,7.317536,3.8754592,3.93
-1.3024321,7.3052874,4.239274,4.27
7.4200587,-1.9616083,3.3155775,3.29
-1.6625961,7.2515097,3.7221332,3.78
-1.404608,7.104855,4.522006,4.57
-1.4772286,7.2247167,3.9422154,3.94
9.577949,-2.6230316,1.8846573,1.89
5.5776076,0.2805451,0.6893425,0.7
6.3237085,-1.0578555,3.3070354,3.32
-1.9811581,8.858237,1.0109825,1.03
7.2685757,0.48145738,0.7084942,0.67
8.207099,12.293502,2.196196,2.23
8.899585,12.853922,3.5087008,3.53
8.124992,13.226331,4.415603,4.31
8.185819,13.332189,4.256472,4.29
8.955898,12.997963,3.560535,3.54
8.364477,13.011095,3.9953103,4.02
8.081738,12.404578,2.5307598,2.64
9.2170925,12.330394,3.4636445,3.39
-1.030398,5.574202,2.3001761,2.3
-3.9871335,6.9805603,1.9164145,1.89
-3.435338,6.105104,2.1291475,2.26
-3.6968267,6.193232,2.0169597,2.09
-4.045236,7.2383513,1.8428475,1.83
-3.8484366,6.386974,1.9685596,1.98
7.5476465,-3.9508584,3.6590629,3.72
7.682726,-3.8382542,3.5811,3.5
4.8126616,-3.450503,4.1078453,4.07
4.8677096,-3.558678,3.902504,3.9
4.911752,-3.5592449,3.7806778,3.6
6.290851,-3.0913348,3.9441,4.01
5.70337,-2.9013293,4.743696,4.47
6.631549,-3.129524,3.6682062,3.65
7.116047,1.1926767,0.964154,1.69
5.51438,-1.4248137,4.3701453,4.64
7.63144,-3.0905833,3.4082932,3.74
7.8176494,-2.9987762,3.3303313,3.8
4.617977,-1.9765587,3.9364748,3.79
4.592061,-1.9624275,3.7524643,3.93
4.595475,-1.8698323,3.6494617,3.61
6.300385,-2.6425204,3.8199277,3.81
6.072487,-2.5785465,3.9719648,3.52
5.9047575,-2.53628,4.1446276,4.25
6.734873,-2.6910553,3.6657147,3.78
6.440178,-2.6807797,3.745297,3.77
7.8782163,12.053007,2.3983307,2.16
-4.0230746,7.18394,1.8259557,1.87
-2.4683828,7.566952,3.6737328,3.69
8.767255,13.071856,3.5606637,3.59
-2.2470846,8.620797,1.1028376,1.11
-2.794535,8.441005,1.2755088,1.28
-3.756587,7.7184043,1.4184662,1.41
8.698995,11.580405,1.2419876,1.22
8.796608,11.598085,1.3020749,1.29
8.727682,11.506763,1.5678922,1.53
-4.032489,7.414417,1.8374554,1.79
-4.001263,7.2889285,1.8731371,1.87
-3.9024785,6.547891,1.9531147,1.95
9.482825,-3.6363335,1.6289918,1.52
9.615031,-3.6079397,1.659386,1.6
9.619841,-3.686001,1.6713454,1.63
8.693939,-3.5581977,0.9155576,0.97
8.293925,-0.22941093,0.5990849,0.56
6.8159943,1.0002539,0.5898411,0.6
6.309881,0.9302362,0.67479265,0.61
7.734831,12.217407,2.9837708,3.048
7.913165,11.9721,2.1758,2.11
8.229817,11.822635,1.5036621,1.467
7.85619,12.720974,2.4168868,2.465
8.090406,12.501121,1.3628572,1.341
8.039142,12.424919,2.5893793,2.611
8.125807,13.230685,4.5896482,4.708
