Features,value,Decision
A_IONRAD,-0.003951414730521238,Accepted
A_IONRAD,0.14780206206677962,Accepted
A_IONRAD,0.3146008616890627,Accepted
A_IONRAD,0.227741982087996,Accepted
A_IONRAD,0.06920905633396457,Accepted
A_IONRAD,0.25387301380727745,Accepted
A_IONRAD,0.10304779902658712,Accepted
A_IONRAD,-0.0004434724538057055,Accepted
A_IONRAD,-0.04961329530145753,Accepted
A_IONRAD,-0.03619775224482517,Accepted
A_IONRAD,0.271557821910543,Accepted
A_IONRAD,0.001110540955101533,Accepted
A_IONRAD,0.2906194217194751,Accepted
A_IONRAD,0.0622623665736227,Accepted
A_IONRAD,0.1626724378036466,Accepted
A_IONRAD,0.2427534739344352,Accepted
A_IONRAD,0.13657511723129304,Accepted
A_IONRAD,0.24071133502027564,Accepted
A_IONRAD,0.08939718614127878,Accepted
A_IONRAD,0.033689705347125204,Accepted
A_IONRAD,0.142969298912906,Accepted
A_IONRAD,0.19949742412305813,Accepted
A_IONRAD,0.08404611870651107,Accepted
A_IONRAD,0.1794687877334723,Accepted
A_IONRAD,0.12817524693840585,Accepted
A_IONRAD,0.12833791418379192,Accepted
A_IONRAD,0.23734571732904164,Accepted
A_IONRAD,0.025257170644360147,Accepted
A_IONRAD,0.3112248842021538,Accepted
A_IONRAD,0.11282313894205649,Accepted
A_IONRAD,0.10374103330188546,Accepted
A_IONRAD,0.15152647917421325,Accepted
A_IONRAD,0.14940882719994775,Accepted
A_IONRAD,0.21824686855684508,Accepted
A_IONRAD,0.10686950557117487,Accepted
A_IONRAD,0.08516580880072157,Accepted
A_IONRAD,0.19165968211189166,Accepted
A_IONRAD,0.12609289902129353,Accepted
A_IONRAD,0.04196573963826797,Accepted
A_IONRAD,0.044659724703196235,Accepted
A_IONRAD,0.18739718781093465,Accepted
A_IONRAD,-0.0906487374432794,Accepted
A_IONRAD,0.0993240752494304,Accepted
A_IONRAD,0.03786742168966321,Accepted
A_IONRAD,0.05383524683714601,Accepted
A_IONRAD,0.16260622487702667,Accepted
A_IONRAD,0.09702338447250616,Accepted
A_IONRAD,0.3082129530752093,Accepted
A_IONRAD,0.22473841336163464,Accepted
A_IONRAD,0.28471344000345006,Accepted
A_IONRAD,0.24767369192906222,Accepted
A_IONRAD,0.059747575435525904,Accepted
A_IONRAD,0.2818694225254501,Accepted
A_IONRAD,0.09689551375514634,Accepted
A_IONRAD,0.19684225514951473,Accepted
A_IONRAD,0.006582292313968898,Accepted
A_IONRAD,0.2404776982857565,Accepted
A_IONRAD,0.16592204461518292,Accepted
A_IONRAD,0.29923457408336074,Accepted
A_IONRAD,0.12319863010476362,Accepted
A_IONRAD,0.19908981654943622,Accepted
A_IONRAD,0.03938978456956038,Accepted
A_IONRAD,0.05856291829024092,Accepted
