Methods,value,Decision
A_DPM,-0.1410470034295253,Accepted
A_DPM,-0.08130966105350745,Accepted
A_DPM,-0.09544166519476509,Accepted
A_DPM,-0.12712089993962658,Accepted
A_DPM,-0.10845505491084267,Accepted
A_DPM,-0.0982945922546564,Accepted
A_DPM,-0.11955649829357877,Accepted
A_DPM,-0.12369654508897907,Accepted
A_DPM,-0.07288376219246794,Accepted
A_DPM,-0.06278577097971172,Accepted
A_DPM,-0.1491888083148416,Accepted
A_DPM,-0.036312532944703005,Accepted
A_DPM,-0.10260945293447632,Accepted
A_DPM,-0.10752400817217969,Accepted
A_DPM,-0.07450787957059873,Accepted
A_DPM,-0.06790300714900054,Accepted
A_DPM,-0.1346431216918864,Accepted
A_DPM,-0.027892439071918535,Accepted
A_DPM,-0.09174601943579389,Accepted
A_DPM,-0.10738682575355946,Accepted
A_DPM,-0.0798583258219761,Accepted
A_DPM,-0.10150852253061694,Accepted
A_DPM,-0.0624439265220729,Accepted
A_DPM,-0.057260444580890586,Accepted
A_DPM,-0.11070275073826749,Accepted
A_DPM,-0.03948287283933058,Accepted
A_DPM,-0.054976175627946704,Accepted
A_DPM,-0.11062503337898659,Accepted
A_DPM,-0.1356389366885978,Accepted
A_DPM,-0.09842441039743348,Accepted
A_DPM,-0.05441254193692852,Accepted
A_DPM,-0.08690820603121045,Accepted
A_DPM,-0.05703965028205914,Accepted
A_DPM,-0.1007677373324091,Accepted
A_DPM,-0.07601217176856252,Accepted
A_DPM,-0.07279615034325604,Accepted
A_DPM,-0.06129437917779969,Accepted
A_DPM,-0.017744569196477652,Accepted
A_DPM,-0.10887169560539434,Accepted
A_DPM,-0.030952164581338797,Accepted
A_DPM,-0.10157596824892247,Accepted
A_DPM,-0.0853687393479675,Accepted
A_DPM,-0.04781093216712925,Accepted
A_DPM,-0.05760504399606765,Accepted
A_DPM,-0.060628921793460265,Accepted
A_DPM,-0.10819243754997271,Accepted
A_DPM,-0.10514198196962823,Accepted
A_DPM,-0.09484640619418748,Accepted
A_DPM,-0.08536298229669992,Accepted
A_DPM,-0.09750720733108438,Accepted
A_DPM,-0.1170068072942629,Accepted
A_DPM,-0.11657820573970376,Accepted
A_DPM,-0.09586466668207572,Accepted
A_DPM,-0.09618184307096748,Accepted
A_DPM,-0.09757418529034237,Accepted
A_DPM,-0.08303106133114868,Accepted
A_DPM,-0.08931166466449605,Accepted
A_DPM,-0.11110339517490161,Accepted
A_DPM,-0.06177682734630398,Accepted
A_DPM,-0.0875225024975428,Accepted
A_DPM,-0.035315157423663736,Accepted
A_DPM,-0.10726325074090487,Accepted
A_DPM,-0.08746702158769658,Accepted
A_DPM,-0.11065864309445768,Accepted
B_IONRAD,-0.38123158645027827,Rejected
B_IONRAD,-0.38255008642740745,Rejected
B_IONRAD,-0.38320908721043684,Rejected
B_IONRAD,-0.39405529995587163,Rejected
B_IONRAD,-0.3755717073605381,Rejected
B_IONRAD,-0.37443248551827585,Rejected
B_IONRAD,-0.3716658141321011,Rejected
B_IONRAD,-0.361756958133487,Rejected
B_IONRAD,-0.380124701357544,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_IONRAD,,Rejected
B_MASS,-0.35156781974024254,Accepted
B_MASS,-0.34437304500997873,Accepted
B_MASS,-0.3453811550793885,Accepted
B_MASS,-0.36629709776752223,Accepted
B_MASS,-0.338413834983942,Accepted
B_MASS,-0.34735816227001853,Accepted
B_MASS,-0.340759311751604,Accepted
B_MASS,-0.3158910191097343,Accepted
B_MASS,-0.3598708230855075,Accepted
B_MASS,-0.33442478187433655,Accepted
B_MASS,-0.3742793032661677,Accepted
B_MASS,-0.3425544384257243,Accepted
B_MASS,-0.3612412154936219,Accepted
B_MASS,-0.3812047088493244,Accepted
B_MASS,-0.3698988995924048,Accepted
B_MASS,-0.35974868893344364,Accepted
B_MASS,-0.38260529695639295,Accepted
