val_f1tof4_w_ae1_latent_mae,val_f1tof4_w_ae1_latent_rmse,total_val_loss,epoch,step,train_f1tof4_w_ae1_latent_mae,train_f1tof4_w_ae1_latent_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
,,,17,287,0.02729138731956482,0.04234723001718521,0.028429869562387466,0.0,0.001138480263762176,0.0,0.0
0.02235528454184532,0.039674196392297745,0.02235528454184532,18,303,,,,,,,
,,,18,303,0.0223679356276989,0.03622256591916084,0.023505685850977898,0.0,0.0011377525515854359,0.0,0.0
0.023587962612509727,0.03857140243053436,0.023587962612509727,19,319,,,,,,,
,,,19,319,0.021222999319434166,0.03412618115544319,0.022363832220435143,0.0,0.0011408310383558273,0.0,0.0
0.02464289404451847,0.041418712586164474,0.02464289404451847,20,335,,,,,,,
,,,20,335,0.02445921115577221,0.03622809797525406,0.02560553327202797,0.0,0.0011463200207799673,0.0,0.0
0.019152233377099037,0.024595484137535095,0.019152233377099037,21,351,,,,,,,
,,,21,351,0.021812377497553825,0.03037949465215206,0.022963156923651695,0.0,0.0011507709277793765,0.0,0.0
0.027447327971458435,0.036446768790483475,0.027447327971458435,22,367,,,,,,,
,,,22,367,0.022020453587174416,0.029584577307105064,0.02317168191075325,0.0,0.0011512289056554437,0.0,0.0
0.020911475643515587,0.026161689311265945,0.020911475643515587,23,383,,,,,,,
,,,23,383,0.018853574991226196,0.02581097185611725,0.02000592276453972,0.0,0.0011523475404828787,0.0,0.0
0.016688577830791473,0.021549921482801437,0.016688577830791473,24,399,,,,,,,
,,,24,399,0.014984363690018654,0.020108714699745178,0.016133511438965797,0.0,0.0011491490295156837,0.0,0.0
0.01250080019235611,0.016082828864455223,0.01250080019235611,25,415,,,,,,,
,,,25,415,0.018502252176404,0.024119894951581955,0.019651049748063087,0.0,0.0011487993178889155,0.0,0.0
0.014402228407561779,0.01778351701796055,0.014402228407561779,26,431,,,,,,,
,,,26,431,0.018392018973827362,0.02437235601246357,0.01953885890543461,0.0,0.001146836206316948,0.0,0.0
0.009515822865068913,0.012711731716990471,0.009515822865068913,27,447,,,,,,,
,,,27,447,0.014105411246418953,0.01850273087620735,0.015245070680975914,0.0,0.0011396596673876047,0.0,0.0
0.00956883653998375,0.014093628153204918,0.00956883653998375,28,463,,,,,,,
,,,28,463,0.0110063711181283,0.0147922458127141,0.012149382382631302,0.0,0.0011430105660110712,0.0,0.0
0.010521365329623222,0.013285043649375439,0.010521365329623222,29,479,,,,,,,
,,,29,479,0.010075803846120834,0.014049808494746685,0.011217954568564892,0.0,0.0011421509552747011,0.0,0.0
0.011229977943003178,0.014305506832897663,0.011229977943003178,30,495,,,,,,,
,,,30,495,0.010868526995182037,0.01399154495447874,0.012010468170046806,0.0,0.0011419412912800908,0.0,0.0
0.009831625036895275,0.012298169545829296,0.009831625036895275,31,511,,,,,,,
,,,31,511,0.011695468798279762,0.01588771864771843,0.012837749905884266,0.0,0.0011422820389270782,0.0,0.0
0.009924335405230522,0.013999680988490582,0.009924335405230522,32,527,,,,,,,
