UMAP1,UMAP2,Predicted Binding Energy
1.6091732,8.678282,23.98
2.308022,8.668237,18.91
2.846869,8.742176,15.88
2.9953134,8.774789,14.53
0.22473358,8.381247,51.41
0.35029992,8.273239,42.15
0.7399496,8.341589,33.63
1.5144002,8.25888,26.25
1.8845495,8.204769,19.21
2.0246162,8.211105,13.87
0.31262714,8.466462,48.5
0.41647992,8.381242,39.25
0.7672112,8.333346,30.94
1.5815955,8.234405,23.63
2.016923,8.299735,17.03
2.1969817,8.350657,12.36
0.5526348,8.5403,45.6
0.66047996,8.48759,36.34
1.142687,8.452872,28.25
1.7419034,8.422673,21.23
2.2485373,8.388749,15.34
2.3425024,8.472611,11.57
0.92303276,8.724433,42.7
1.096992,8.681417,33.44
1.4477115,8.541653,25.67
2.1124737,8.640906,18.98
2.6350043,8.695814,14.14
2.759921,8.71574,12.06
1.1850352,8.83595,39.79
1.321163,8.823814,30.62
1.7459421,8.794344,23.38
2.4341986,8.862264,16.98
2.9382346,8.884386,13.89
3.194048,8.943812,12.54
1.3392577,8.859189,36.95
1.4429226,8.848701,27.99
1.8319125,8.892525,21.19
2.575071,8.919637,16.39
3.0717268,9.052591,14.37
3.2544744,9.033719,13.02
0.43120772,8.68499,48.13
0.55779225,8.64529,38.88
0.9579049,8.598836,30.38
1.7434223,8.561524,23.25
2.204746,8.564808,16.66
2.434317,8.534094,11.5
0.5271614,8.763854,45.23
0.62524295,8.726628,35.97
1.0693771,8.644498,27.69
1.8558575,8.613311,20.73
2.362757,8.611088,14.61
2.5120828,8.6384735,10.15
0.8513521,8.881513,42.33
0.99781936,8.858498,33.07
1.4651499,8.849586,25.15
2.0902512,8.817132,18.6
2.7101743,8.813961,13.03
2.8704138,8.855429,10.06
1.2169002,9.040189,39.42
1.3463694,9.058032,30.17
1.878589,9.083733,22.83
2.561581,9.13594,16.58
3.1255133,9.110875,12.12
3.2964017,9.161116,10.55
1.4905034,9.161403,36.52
1.6872723,9.219454,27.49
2.1166518,9.226625,20.58
2.941592,9.306084,14.96
3.4076953,9.2738695,12.38
3.5814703,9.337103,11.03
1.6148503,9.261192,33.78
1.7716595,9.2854,25.03
2.2663476,9.282567,18.74
3.1088517,9.372526,14.47
3.5676422,9.402494,12.86
3.6260228,9.304237,11.51
0.62689686,8.936178,44.86
0.7369314,8.970001,35.6
1.1893148,8.881777,27.29
1.969808,8.804327,20.69
2.464296,8.770465,14.47
2.6889231,8.812991,9.48
0.734878,8.999884,41.96
0.89279485,8.9996,32.7
1.3230274,8.914934,24.77
2.1518512,8.8720875,18.45
2.5923603,8.895058,12.45
2.827655,8.921537,8.68
1.0530808,9.074074,39.05
1.2587552,9.157318,29.86
1.6662027,9.079573,22.44
2.4107342,9.088932,16.44
2.9751186,9.074458,10.84
3.1691706,9.084599,8.73
1.4187332,9.264366,36.15
1.6014851,9.321669,27.14
2.066117,9.360552,20.42
2.8221238,9.339387,14.42
3.4060633,9.341394,10.54
3.552571,9.381319,9.2
1.7700517,9.4221115,33.24
1.9128078,9.444659,24.67
2.2390013,9.479115,18.4
3.2070503,9.496044,13.21
3.6935503,9.509811,10.87
3.836513,9.578126,9.68
1.8527522,9.410193,30.73
2.017047,9.492924,22.41
2.3887956,9.483972,16.75
3.312995,9.526338,12.76
3.8282654,9.526523,11.35
3.9897747,9.603763,10.16
0.7370285,9.015194,41.58
0.89430624,9.035658,32.41
1.3226063,8.930792,24.72
2.1606638,8.893682,18.43
2.643417,8.928446,12.38
2.7770386,8.915902,8.44
0.8616607,9.063285,38.68
1.063641,9.130206,29.68
1.4483902,9.016786,22.43
2.2502863,9.027925,16.29
2.8211834,9.000753,10.44
2.9391391,9.03015,7.63
1.1682748,9.171347,35.78
1.3454083,9.269587,27.08
1.8171962,9.288951,20.28
2.5478125,9.207191,14.27
3.0858645,9.165214,9.09
3.230793,9.234976,7.75
1.5534128,9.402544,33.02
1.6285671,9.398869,24.69
2.1149414,9.451782,18.26
2.9427295,9.43591,12.47
3.4859636,9.421713,9.12
3.7322688,9.478927,8.23
1.8597469,9.507987,30.38
2.0023122,9.556013,22.46
2.3122418,9.557382,16.24
3.2712533,9.556884,11.61
3.792855,9.564965,9.4
3.9340956,9.609967,8.7
1.993502,9.555488,28.1
2.1756852,9.589944,20.23
2.5029802,9.617092,15.06
3.3381646,9.588186,11.42
3.8876152,9.640393,9.88
4.1013904,9.666415,9.18
0.11685382,8.480422,60.46
0.21006986,8.478316,51.21
0.54333514,8.462854,42.46
1.2843992,8.315035,35.08
1.7836798,8.273311,28.21
1.9451547,8.245577,22.13
0.19100867,8.534483,57.56
0.28350085,8.531302,48.3
0.6082059,8.501802,39.77
1.3301594,8.361183,32.39
1.8599356,8.330154,25.92
2.0118685,8.343154,20.09
0.42990765,8.693516,54.66
0.5636674,8.698769,45.4
0.92873305,8.632705,37.08
1.6286215,8.500303,29.73
2.1116583,8.479302,23.89
2.28961,8.565771,18.28
0.71681213,8.828258,51.75
0.9077506,8.835428,42.5
1.2645122,8.8240795,34.39
2.0458672,8.754528,27.69
2.5284684,8.829582,21.86
2.6667469,8.821578,17.47
1.0271027,9.005316,48.85
1.2347455,9.076222,39.59
1.6285219,8.98456,31.95
2.2914362,8.974896,25.65
2.7965107,9.018101,20.57
3.1045713,9.057912,17.33
1.2160709,9.046218,45.94
1.3675,9.083679,36.92
1.7856936,9.090138,29.53
2.4515414,9.111451,24.07
3.0504014,9.156884,19.98
3.2216902,9.175936,17.58
0.16908477,8.5752325,57.19
0.301236,8.579385,47.93
0.6711256,8.531197,39.21
1.480402,8.462601,31.82
1.8504429,8.384166,24.76
1.9728951,8.416832,18.86
0.23736654,8.631529,54.28
0.34026477,8.594375,45.03
0.7834414,8.636181,36.52
1.5311965,8.492319,29.13
1.963096,8.50654,22.56
2.0902233,8.452153,17.02
0.4683503,8.763053,51.38
0.642517,8.743261,42.13
1.0159533,8.704196,33.83
1.7824417,8.572807,26.54
2.2526438,8.68447,20.53
2.4166117,8.644451,15.44
0.78113055,8.9004965,48.48
0.9959067,8.949412,39.22
1.4032066,8.9182415,31.21
2.1638904,8.886516,24.33
2.6563537,8.976806,18.74
2.753371,9.03782,15.18
1.1510886,9.0834055,45.57
1.3000468,9.138701,36.38
1.8099215,9.112396,28.79
2.3974798,9.012127,22.29
2.9236012,9.118431,17.83
3.206598,9.179965,15.58
1.3271375,9.243581,42.71
1.476656,9.191317,33.74
1.8882723,9.170108,26.37
2.5773458,9.166724,21.03
3.1314316,9.219672,17.41
3.3614802,9.246778,16.07
0.32586092,8.868355,53.91
0.5051133,8.853999,44.66
0.7733623,8.687854,35.95
1.6785908,8.580724,28.57
2.10707,8.571238,21.3
2.2418084,8.60585,16.0
0.45266253,8.87846,51.01
0.5878729,8.950854,41.76
0.8580665,8.805149,33.26
1.8244058,8.701498,25.88
2.1652956,8.70285,19.38
2.3394022,8.665215,14.55
0.7216055,9.020009,48.11
0.8155473,9.075916,38.85
1.3272598,9.039148,30.57
2.0225556,8.844941,23.38
2.629595,9.011325,17.52
2.678793,8.960891,13.43
1.051575,9.159848,45.2
1.1901757,9.176082,35.95
1.6536422,9.145465,28.06
2.3721168,9.110865,21.04
2.869994,9.242801,16.09
3.2062402,9.273569,13.59
1.3787694,9.404959,42.3
1.6017952,9.394453,33.2
2.0063293,9.414114,25.63
2.811574,9.41571,19.19
3.2503405,9.383782,15.56
3.5183568,9.400575,14.07
1.5395205,9.422065,39.53
1.6449878,9.471611,30.57
2.2029521,9.494549,23.21
2.8945136,9.41473,18.33
3.3549764,9.434164,15.9
3.614387,9.475126,14.56
0.54027146,9.077181,50.64
0.70270616,9.104153,41.39
1.0785255,9.064666,32.7
1.9502627,8.854158,25.31
2.4528925,8.8732815,18.46
2.6594713,8.941994,13.69
0.69613534,9.191901,47.74
0.8517927,9.201535,38.48
1.1819264,9.112472,30.01
2.0651543,8.954796,22.73
2.528194,8.968549,16.74
2.7749567,9.037584,12.37
1.0034206,9.370389,44.83
1.1023977,9.349673,35.58
1.5931758,9.34923,27.32
2.3578305,9.163886,20.48
2.934852,9.264285,15.22
3.0284998,9.1615715,11.83
1.4202859,9.532876,41.93
1.5840992,9.537748,32.67
1.9936343,9.526954,24.9
2.7696278,9.518622,18.41
3.3872235,9.498727,14.01
3.5824084,9.575111,12.08
1.7147324,9.692352,39.03
1.9588624,9.664976,30.02
2.3908594,9.7406025,22.63
3.1287832,9.628708,16.8
3.6202538,9.642381,14.06
3.8333166,9.694587,12.56
1.9426533,9.817345,36.36
2.068277,9.796304,27.39
2.4795914,9.795186,20.38
3.355219,9.763838,16.28
3.7917044,9.748189,14.39
3.9794421,9.743518,13.05
0.7468942,9.304068,47.37
0.9684288,9.336958,38.11
1.3708721,9.267827,29.44
2.247422,9.098158,22.45
2.6679878,9.162554,16.3
2.9026258,9.171819,11.48
0.90852803,9.39528,44.46
1.0934275,9.400913,35.21
1.4665207,9.32527,26.75
2.3445435,9.230762,20.28
2.7997074,9.209445,14.37
2.996628,9.226972,10.59
1.2803551,9.615913,41.56
1.4236276,9.618439,32.3
1.787865,9.586908,24.34
2.6733334,9.463911,18.27
3.3581233,9.518272,13.01
3.6059444,9.57971,10.36
1.6868396,9.779042,38.65
1.8352938,9.750306,29.48
2.2268555,9.862078,22.25
3.1888196,9.657247,16.3
3.6249819,9.6802225,12.37
3.8827162,9.729317,10.57
2.0420527,10.022243,35.82
2.2101092,9.966583,26.92
2.6115522,9.987372,20.23
3.4235334,9.860129,14.74
3.9197297,9.816989,12.59
4.1000285,9.820825,11.05
2.1694243,10.021679,33.18
2.3319423,9.998675,24.45
2.7019384,10.062874,18.4
3.5389004,9.922124,14.6
4.0560975,9.889481,12.88
4.2306013,9.940962,11.54
0.8995091,9.42543,44.09
1.052369,9.417691,34.84
1.4708015,9.347569,26.48
2.4056363,9.237372,20.19
2.8720872,9.248835,14.14
3.0732777,9.299277,9.94
1.0419699,9.508561,41.19
1.2040107,9.509906,31.93
1.5813913,9.505772,24.19
2.555773,9.356903,18.12
2.9766643,9.32868,12.27
3.1927147,9.33577,9.17
1.4267974,9.753232,38.28
1.6015066,9.730915,29.11
1.9405977,9.688748,22.11
2.795761,9.579964,16.11
3.3659039,9.574608,11.08
3.6327064,9.625609,9.07
1.7284803,9.780177,35.38
2.0128586,9.882843,26.72
2.352828,9.928766,20.09
3.2930245,9.813229,14.29
3.7201717,9.814508,10.9
3.9901996,9.797967,9.28
2.0914097,10.018299,32.64
2.3099854,10.031624,24.48
2.7013767,10.055482,18.07
3.5664613,9.969719,13.13
4.028602,9.84442,11.11
4.254823,9.921453,9.72
2.2947373,10.068846,30.16
2.394362,10.051767,22.25
2.78139,10.098786,16.57
3.70215,10.020826,13.13
4.1486325,9.963861,11.38
4.3581905,9.99576,10.19
0.2989358,9.193436,62.97
0.39837277,9.225994,53.72
0.7470426,9.194596,44.78
1.6453302,9.093561,37.4
2.2432802,9.015933,30.83
2.3968663,9.027358,24.82
0.3921751,9.296339,60.07
0.51382625,9.300965,50.81
0.84553605,9.3290615,42.09
1.7741667,9.18343,34.71
2.3285205,9.093634,28.61
2.4664102,9.121173,22.78
0.6420309,9.45616,57.16
0.78241754,9.474802,47.91
1.099217,9.396745,39.4
2.099146,9.364479,32.41
2.7610695,9.479418,26.58
2.851207,9.3767605,20.96
0.9974119,9.647405,54.26
1.1733359,9.654272,45.0
1.6087683,9.688898,36.76
2.448379,9.544052,30.38
3.0165827,9.583223,24.55
3.2334197,9.6670685,19.59
1.3619704,9.784523,51.35
1.4733814,9.770644,42.13
2.04892,9.801335,34.34
2.734426,9.722638,28.34
3.339681,9.670345,23.07
3.552256,9.721928,19.22
1.5251651,9.841469,48.46
1.6812817,9.841657,39.5
2.165011,9.842998,32.14
2.9320884,9.78643,26.56
3.5346897,9.726218,22.12
3.6623306,9.752493,19.3
0.39491037,9.329966,59.7
0.5145959,9.321919,50.44
0.8273046,9.265609,41.53
1.7853233,9.218615,34.14
2.3354585,9.160332,27.37
2.5270545,9.193405,21.46
0.46017146,9.393055,56.79
0.601419,9.38774,47.54
0.94905335,9.389201,38.84
1.8761299,9.29705,31.45
2.4599965,9.271043,25.25
2.615871,9.269852,19.51
0.7628291,9.564229,53.89
0.9148239,9.620725,44.63
1.3152446,9.518348,36.14
2.2630725,9.474186,29.05
