UMAP1,UMAP2,Predicted Binding Energy,True Binding Energy
5.225256,3.858199,12.010636,8.42
12.772118,0.19830658,11.570809,8.39
12.207399,-0.19667631,13.130052,8.18
4.8211436,4.313408,13.237077,8.07
-4.0363865,-0.20377783,7.801815,7.69
-4.537474,0.72352403,7.5217147,7.63
-4.619564,0.6618407,8.019971,7.62
-3.936506,0.19422728,7.056255,7.51
-3.883049,0.9896897,7.5996804,7.49
-3.984708,0.05889252,7.6729712,7.46
-4.2875047,0.6798891,7.331307,7.46
13.410783,10.630829,10.226022,7.18
-3.9745212,0.0008935021,6.647212,7.01
-3.839876,0.6852682,6.97131,7.0
-3.762084,0.8408189,7.3236833,6.85
-3.7091432,1.0319338,8.393506,6.8
-4.4858217,0.5633072,8.196349,5.72
12.863602,0.22225341,11.104233,5.41
