Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
Br,Br,Br,0,1,0,MA,BrBrBrMA,ACETONE,15.14,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.79E-01,-8.33E-01,7.88E-01,-7.83E-02,-7.10E-01,-9.67E-01,2.00E-02,1.09E-02,5.94E-01,4.85E-01,-4.96E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,ACETONE,15.12,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.81E-01,-6.38E-02,-7.72E-01,-8.72E-03,-7.42E-01,9.90E-01,-1.35E-02,8.46E-01,1.51E-01,9.22E-01,-9.45E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,ACETONE,15.08,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.27E-01,4.47E-01,-7.67E-01,-1.85E-02,-7.44E-01,9.90E-01,-1.68E-02,8.44E-01,6.55E-01,8.44E-01,-9.45E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,METHA,14.99,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.10E-02,4.23E-01,-9.93E-01,-3.80E-02,-6.87E-01,-9.79E-01,5.97E-02,6.73E-01,-9.75E-01,2.64E-01,-9.49E-01,2,0.85,10.9,1,2.8,82.5,-0.08,0,0,0,0,0,1,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,ACETONE,14.97,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.54E-02,-7.30E-02,7.94E-01,-5.18E-02,-7.28E-01,-9.64E-01,1.21E-02,1.11E-02,7.96E-02,9.04E-01,-8.59E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,ACETONE,14.89,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.20E-01,4.32E-01,-7.65E-01,-4.16E-02,-7.38E-01,9.91E-01,-1.63E-02,8.42E-01,9.38E-01,3.65E-01,-8.89E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,I,I,0,0,1,FA,IIIFA,NMP,14.87,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.12E-01,3.77E-01,-9.92E-01,-1.07E-01,-6.65E-01,-9.79E-01,6.14E-02,6.63E-01,5.54E-01,-9.79E-01,-6.18E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,ACETONE,14.85,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.10E-02,4.23E-01,-9.93E-01,-3.80E-02,-6.87E-01,-9.79E-01,5.97E-02,6.73E-01,-9.75E-01,2.64E-01,-9.49E-01,2,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,ACETONE,14.79,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.27E-01,-5.62E-01,7.91E-01,-6.50E-02,-7.19E-01,-9.65E-01,1.60E-02,1.10E-02,3.64E-01,7.67E-01,-7.24E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,ACETONE,14.77,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.66E-01,-1.00E-01,-7.68E-01,-5.49E-02,-7.29E-01,9.90E-01,-1.23E-02,8.42E-01,9.65E-01,-1.00E-01,-7.79E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
