Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,THTO,39.25,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.46E-01,2.67E-01,-7.77E-01,-7.33E-01,8.62E-01,5.39E-01,-9.73E-01,-9.99E-01,9.70E-01,6.74E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,DMSO,39.24,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.47E-01,4.52E-01,-8.23E-01,-8.76E-02,8.76E-01,5.23E-01,-9.88E-01,-9.99E-01,9.69E-01,7.74E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,THTO,38.38,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.30E-01,5.00E-01,-5.95E-01,2.94E-01,3.66E-01,1.40E-01,9.20E-01,-9.34E-01,5.50E-01,9.89E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,DMSO,38.32,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.46E-01,2.67E-01,-7.77E-01,-7.33E-01,8.62E-01,5.39E-01,-9.73E-01,-9.99E-01,9.70E-01,6.74E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,THTO,38.29,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.92E-01,-3.70E-01,-7.10E-01,-7.70E-01,8.68E-01,5.65E-01,-9.49E-01,-9.99E-01,9.70E-01,5.68E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,Cs,IBrClCs,DMSO,38.2,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,2.96E-01,-1.72E-01,-7.69E-01,-1.72E-01,8.81E-01,5.51E-01,-9.76E-01,-9.99E-01,9.69E-01,6.95E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,DMSO,38.1,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.17E-02,6.43E-01,-6.73E-01,8.18E-01,4.13E-01,1.19E-01,8.33E-01,-9.16E-01,5.42E-01,9.93E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,THTO,37.88,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.94E-01,4.08E-02,-8.17E-01,5.88E-01,8.93E-01,5.36E-01,-9.89E-01,-9.99E-01,9.68E-01,7.90E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,MA,IBrClMA,THTO,37.85,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.90E-01,-2.34E-02,-6.28E-01,6.64E-02,9.90E-01,3.56E-01,8.43E-05,-9.98E-01,-8.09E-01,2.64E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,DMSO,37.83,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.30E-01,5.00E-01,-5.95E-01,2.94E-01,3.66E-01,1.40E-01,9.20E-01,-9.34E-01,5.50E-01,9.89E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,MA,IClClMA,THTO,37.79,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.37E-01,5.64E-01,-7.11E-01,1.51E-01,9.89E-01,3.22E-01,-3.20E-01,-9.98E-01,-8.07E-01,4.17E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,Cs,BrBrBrCs,DMSO,37.77,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,2.95E-01,-8.57E-01,-6.89E-01,4.64E-01,9.02E-01,5.88E-01,-9.59E-01,-9.99E-01,9.67E-01,6.20E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,DMSO,37.68,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.92E-01,-3.70E-01,-7.10E-01,-7.70E-01,8.68E-01,5.65E-01,-9.49E-01,-9.99E-01,9.70E-01,5.68E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,I,0,0,1,Cs,IIICs,THTO,37.61,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,4.37E-01,5.85E-02,-7.20E-01,-9.45E-01,8.47E-01,5.54E-01,-9.43E-01,-9.99E-01,9.71E-01,5.41E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
