Index,Formula,notes,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A site mixing,,Cubic,Tetra,Ortho,Hex,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN
1,MAGeCl_3,arun,-0.39,1.95,0.15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
2,MAGeBr_3,arun,-0.24,1.61,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.96,79.9,3.365,11.814,2.96,35
3,MAGeI_3,arun,-0.03,1.31,0.23,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.98,126.9,3.06,10.451,2.66,53
4,MASnCl_3,arun,-0.25,1.58,0.17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.81,35.45,3.617,12.968,3.16,17
5,MASnBr_3,arun,-0.23,1.26,0.2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.96,79.9,3.365,11.814,2.96,35
6,MASnI_3,arun,-0.16,0.88,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
7,MAPbI_3,arun,0.03,1.85,0.22,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
8,MAPbBr_3,arun,-0.15,1.97,0.12,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
9,MAPbCl_3,arun,-0.17,2.53,0.06,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17
10,CsGeCl_3,arun,1.24,1.05,0.18,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
11,CsGeBr_3,arun,-0.28,0.77,0.16,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.96,79.9,3.365,11.814,2.96,35
12,CsGeI_3,arun,0,0.64,0.15,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.98,126.9,3.06,10.451,2.66,53
13,CsSnCl_3,arun,1.36,1.03,0.17,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.81,35.45,3.617,12.968,3.16,17
14,CsSnBr_3,arun,-0.27,0.63,0.12,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.96,79.9,3.365,11.814,2.96,35
15,CsSnI_3,arun,-0.15,0.48,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
16,CsPbCl_3,arun,1.44,2.21,0.08,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17
17,CsPbBr_3,arun,-0.17,1.77,0.15,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
18,CsPbI_3,arun,0.07,1.48,0.22,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
19,FASnI_3,arun,-0.74,1.05,0.22,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
20,FAPbBr_3,arun,-0.91,2.11,0.13,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
21,FAPbI_3,arun,-0.44,1.94,0.19,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
22,FABaI_3,arun,-0.4,3.21,0.01,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.35,137.33,0,5.212,0.89,56,1.98,126.9,3.06,10.451,2.66,53
23,FABaBr_3,arun,-0.69,4.02,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.35,137.33,0,5.212,0.89,56,1.96,79.9,3.365,11.814,2.96,35
24,FABaCl_3,arun,-0.74,4.56,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.35,137.33,0,5.212,0.89,56,1.81,35.45,3.617,12.968,3.16,17
25,FASrI_3,arun,-0.47,3.3,0.01,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,87.62,0,5.695,0.95,38,1.98,126.9,3.06,10.451,2.66,53
26,FASrBr_3,arun,-0.81,4.16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,87.62,0,5.695,0.95,38,1.96,79.9,3.365,11.814,2.96,35
27,FACaI_3,arun,-0.32,3.44,0.01,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1,40.08,0,6.113,1,20,1.98,126.9,3.06,10.451,2.66,53
28,FACaBr_3,arun,-0.78,4.23,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1,40.08,0,6.113,1,20,1.96,79.9,3.365,11.814,2.96,35
29,MABaI_3,arun,0.07,3.77,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.98,126.9,3.06,10.451,2.66,53
30,MABaBr_3,arun,0.13,4.24,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.96,79.9,3.365,11.814,2.96,35
31,MABaCl_3,arun,0.25,4.91,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.81,35.45,3.617,12.968,3.16,17
32,MASrI_3,arun,-0.02,3.76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.98,126.9,3.06,10.451,2.66,53
33,MASrBr_3,arun,-0.03,4.31,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.96,79.9,3.365,11.814,2.96,35
34,MASrCl_3,arun,0,5.11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.81,35.45,3.617,12.968,3.16,17
35,MACaI_3,arun,0.09,3.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1,40.08,0,6.113,1,20,1.98,126.9,3.06,10.451,2.66,53
36,MACaBr_3,arun,-0.06,4.37,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1,40.08,0,6.113,1,20,1.96,79.9,3.365,11.814,2.96,35
37,MACaCl_3,arun,-0.06,5.25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1,40.08,0,6.113,1,20,1.81,35.45,3.617,12.968,3.16,17
38,CsBaI_3,arun,0.27,3.51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.98,126.9,3.06,10.451,2.66,53
39,CsBaBr_3,arun,0.27,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.96,79.9,3.365,11.814,2.96,35
40,CsBaCl_3,arun,2.03,4.67,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.81,35.45,3.617,12.968,3.16,17
41,CsSrI_3,arun,0.04,3.61,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.98,126.9,3.06,10.451,2.66,53
42,CsSrBr_3,arun,-0.04,4.17,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.96,79.9,3.365,11.814,2.96,35
43,CsSrCl_3,arun,1.61,4.94,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.81,35.45,3.617,12.968,3.16,17
44,CsCaI_3,arun,0.04,3.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.98,126.9,3.06,10.451,2.66,53
45,CsCaBr_3,arun,-0.22,4.4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.96,79.9,3.365,11.814,2.96,35
46,CsCaCl_3,arun,1.39,5.37,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.81,35.45,3.617,12.968,3.16,17
47,RbBaI_3,arun,2.75,3.23,0.01,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.98,126.9,3.06,10.451,2.66,53
48,RbBaBr_3,arun,0.53,3.72,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.96,79.9,3.365,11.814,2.96,35
49,RbBaCl_3,arun,0.63,4.34,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.81,35.45,3.617,12.968,3.16,17
50,RbSrI_3,arun,2.5,3.33,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.61,85.468,0,1.18,87.62,0,5.695,0.95,38,1.98,126.9,3.06,10.451,2.66,53
51,RbSrBr_3,arun,0.19,3.88,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.18,87.62,0,5.695,0.95,38,1.96,79.9,3.365,11.814,2.96,35
52,RbSrCl_3,arun,0.17,4.61,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.18,87.62,0,5.695,0.95,38,1.81,35.45,3.617,12.968,3.16,17
53,RbCaI_3,arun,2.47,3.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.98,126.9,3.06,10.451,2.66,53
54,RbCaBr_3,arun,-0.04,4.08,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.96,79.9,3.365,11.814,2.96,35
55,RbCaCl_3,arun,-0.11,4.95,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.81,35.45,3.617,12.968,3.16,17
56,RbGeI_3,arun,2.4,0.58,0.14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5,FALSE,1,0,0,0,1.61,85.468,0,0.73,72.63,1.35,7.9,2.01,32,1.98,126.9,3.06,10.451,2.66,53
57,RbGeBr_3,arun,-0.13,0.68,0.14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,FALSE,1,0,0,0,1.61,85.468,0,0.73,72.63,1.35,7.9,2.01,32,1.96,79.9,3.365,11.814,2.96,35
58,RbGeCl_3,arun,-0.31,0.97,0.17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
59,RbSnI_3,arun,2.29,0.41,0.07,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
60,RbSnBr_3,arun,-0.06,0.57,0.11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.96,79.9,3.365,11.814,2.96,35
61,RbSnCl_3,arun,-0.1,0.92,0.16,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.81,35.45,3.617,12.968,3.16,17
62,RbPbI_3,arun,2.52,1.46,0.22,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,1.61,85.468,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
63,RbPbBr_3,arun,0.06,1.75,0.16,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
64,RbPbCl_3,arun,0,2.18,0.09,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17
65,KBaI_3,arun,3.2,3.08,0.01,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,1.35,137.33,0,5.212,0.89,56,1.98,126.9,3.06,10.451,2.66,53
66,KBaBr_3,arun,0.79,3.57,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.35,137.33,0,5.212,0.89,56,1.96,79.9,3.365,11.814,2.96,35
67,KBaCl_3,arun,3.38,4.17,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.35,137.33,0,5.212,0.89,56,1.81,35.45,3.617,12.968,3.16,17
68,KSrI_3,arun,2.94,3.17,0.01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.98,126.9,3.06,10.451,2.66,53
69,KSrBr_3,arun,0.43,3.71,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.96,79.9,3.365,11.814,2.96,35
70,KSrCl_3,arun,2.89,4.42,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.81,35.45,3.617,12.968,3.16,17
71,KCaI_3,arun,2.89,3.26,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.98,126.9,3.06,10.451,2.66,53
72,KCaBr_3,arun,0.17,3.91,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.96,79.9,3.365,11.814,2.96,35
73,KCaCl_3,arun,2.57,4.75,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.81,35.45,3.617,12.968,3.16,17
74,KGeI_3,arun,2.79,0.54,0.12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.98,126.9,3.06,10.451,2.66,53
75,KGeBr_3,arun,0.05,0.62,0.13,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.96,79.9,3.365,11.814,2.96,35
76,KGeCl_3,arun,2.36,0.9,0.17,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
77,KSnI_3,arun,2.71,0.37,0.06,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
78,KSnBr_3,arun,0.16,0.53,0.1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.15,118.71,1.2,7.344,1.96,50,1.96,79.9,3.365,11.814,2.96,35
79,KSnCl_3,arun,2.61,0.88,0.15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.15,118.71,1.2,7.344,1.96,50,1.81,35.45,3.617,12.968,3.16,17
80,KPbI_3,arun,2.95,1.45,0.22,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
81,KPbBr_3,arun,0.29,1.74,0.16,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
82,KPbCl_3,arun,2.72,2.18,0.09,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17
171,CsBa_0.125Pb_0.875I_3,arun,0.13,1.75,0.2,0,0,1,0,0,0,0,0.125,0,0,0.875,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.21,198.291,0.315,7.141,2.15,78.75,1.98,126.9,3.06,10.451,2.66,53
172,CsBa_0.25Pb_0.75I_3,arun,0.17,1.97,0.17,0,0,1,0,0,0,0,0.25,0,0,0.75,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.23,189.583,0.27,6.866,1.97,75.5,1.98,126.9,3.06,10.451,2.66,53
173,CsBa_0.375Pb_0.625I_3,arun,0.19,2.28,0.12,0,0,1,0,0,0,0,0.375,0,0,0.625,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.25,180.874,0.225,6.59,1.79,72.25,1.98,126.9,3.06,10.451,2.66,53
174,CsBa_0.5Pb_0.5I_3,arun,0.22,2.29,0.09,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.27,172.165,0.18,6.315,1.61,69,1.98,126.9,3.06,10.451,2.66,53
175,CsBa_0.625Pb_0.375I_3,arun,0.24,3.14,0.02,0,0,1,0,0,0,0,0.625,0,0,0.375,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.29,163.456,0.135,6.039,1.43,65.75,1.98,126.9,3.06,10.451,2.66,53
176,CsBa_0.75Pb_0.25I_3,arun,0.26,3.37,0.02,0,0,1,0,0,0,0,0.75,0,0,0.25,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.31,154.748,0.09,5.763,1.25,62.5,1.98,126.9,3.06,10.451,2.66,53
177,CsBa_0.875Pb_0.125I_3,arun,0.26,3.36,0.01,0,0,1,0,0,0,0,0.875,0,0,0.125,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.33,146.039,0.045,5.488,1.07,59.25,1.98,126.9,3.06,10.451,2.66,53
178,MABa_0.125Pb_0.875I_3,arun,0.07,1.89,0.17,0,0,0,1,0,0,0,0.125,0,0,0.875,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.21,198.291,0.315,7.141,2.15,78.75,1.98,126.9,3.06,10.451,2.66,53
179,MABa_0.25Pb_0.75I_3,arun,0.08,2,0.16,0,0,0,1,0,0,0,0.25,0,0,0.75,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.23,189.583,0.27,6.866,1.97,75.5,1.98,126.9,3.06,10.451,2.66,53
180,MABa_0.375Pb_0.625I_3,arun,0.09,2.28,0.11,0,0,0,1,0,0,0,0.375,0,0,0.625,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.25,180.874,0.225,6.59,1.79,72.25,1.98,126.9,3.06,10.451,2.66,53
181,MABa_0.5Pb_0.5I_3,arun,0.11,2.35,0.09,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.27,172.165,0.18,6.315,1.61,69,1.98,126.9,3.06,10.451,2.66,53
182,MABa_0.625Pb_0.375I_3,arun,0.11,3.07,0.03,0,0,0,1,0,0,0,0.625,0,0,0.375,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.29,163.456,0.135,6.039,1.43,65.75,1.98,126.9,3.06,10.451,2.66,53
183,MABa_0.75Pb_0.25I_3,arun,0.1,2.72,0.04,0,0,0,1,0,0,0,0.75,0,0,0.25,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.31,154.748,0.09,5.763,1.25,62.5,1.98,126.9,3.06,10.451,2.66,53
184,MABa_0.875Pb_0.125I_3,arun,0.08,3.1,0.02,0,0,0,1,0,0,0,0.875,0,0,0.125,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.33,146.039,0.045,5.488,1.07,59.25,1.98,126.9,3.06,10.451,2.66,53
185,FABa_0.125Pb_0.875I_3,arun,-0.41,2.1,0.15,0,0,0,0,1,0,0,0.125,0,0,0.875,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.21,198.291,0.315,7.141,2.15,78.75,1.98,126.9,3.06,10.451,2.66,53
186,FABa_0.25Pb_0.75I_3,arun,-0.46,2.35,0.12,0,0,0,0,1,0,0,0.25,0,0,0.75,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.23,189.583,0.27,6.866,1.97,75.5,1.98,126.9,3.06,10.451,2.66,53
187,FABa_0.375Pb_0.625I_3,arun,-0.45,2.29,0.12,0,0,0,0,1,0,0,0.375,0,0,0.625,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.25,180.874,0.225,6.59,1.79,72.25,1.98,126.9,3.06,10.451,2.66,53
188,FABa_0.5Pb_0.5I_3,arun,-0.46,2.39,0.07,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.27,172.165,0.18,6.315,1.61,69,1.98,126.9,3.06,10.451,2.66,53
189,FABa_0.625Pb_0.375I_3,arun,-0.5,2.5,0.06,0,0,0,0,1,0,0,0.625,0,0,0.375,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.29,163.456,0.135,6.039,1.43,65.75,1.98,126.9,3.06,10.451,2.66,53
190,FABa_0.75Pb_0.25I_3,arun,-0.5,3.2,0.02,0,0,0,0,1,0,0,0.75,0,0,0.25,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.31,154.748,0.09,5.763,1.25,62.5,1.98,126.9,3.06,10.451,2.66,53
191,FABa_0.875Pb_0.125I_3,arun,-0.51,3.19,0.01,0,0,0,0,1,0,0,0.875,0,0,0.125,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.33,146.039,0.045,5.488,1.07,59.25,1.98,126.9,3.06,10.451,2.66,53
192,CsCa_0.25Sr_0.25Sn_0.25Pb_0.25I_3,arun,0.07,2.73,0.05,0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.13,113.353,0.39,6.642,1.56,47.5,1.98,126.9,3.06,10.451,2.66,53
193,CsCa_0.125Ba_0.75Sn_0.125I_3,arun,0.25,2.9,0.03,0,0,1,0,0,0.125,0,0.75,0,0.125,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.281,122.846,0.15,5.591,1.038,50.75,1.98,126.9,3.06,10.451,2.66,53
194,CsSr_0.25Ba_0.125Ge_0.125Sn_0.375Pb_0.125I_3,arun,0.09,1.67,0.19,0,0,1,0,0,0,0.25,0.125,0.125,0.375,0.125,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.135,118.541,0.664,6.744,1.626,49.5,1.98,126.9,3.06,10.451,2.66,53
195,CsCa_0.5Ge_0.25Sn_0.125Pb_0.125Br_3,arun,-0.15,3.12,0.02,0,0,1,0,0,0.5,0,0,0.25,0.125,0.125,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.975,78.911,0.533,6.877,1.539,34.5,1.96,79.9,3.365,11.814,2.96,35
196,CsSr_0.25Ba_0.625Sn_0.125Br_3,arun,0.17,3.35,0.01,0,0,1,0,0,0,0.25,0.625,0,0.125,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.283,122.575,0.15,5.599,1.039,50.75,1.96,79.9,3.365,11.814,2.96,35
197,CsCa_0.125Sr_0.125Ba_0.25Ge_0.375Pb_0.125Br_3,arun,0.02,3.05,0.02,0,0,1,0,0,0.125,0.125,0.25,0.375,0,0.125,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.033,103.406,0.551,6.669,1.511,43.5,1.96,79.9,3.365,11.814,2.96,35
