Index,Formula,notes,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A site mixing,,Cubic,Tetra,Ortho,Hex,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN
286,CsGe_0.5Sn_0.5Br_3,arun,-0.28,0.67,0.14,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.94,95.67,1.275,7.622,1.985,41,1.96,79.9,3.365,11.814,2.96,35
287,CsGe_0.125Sn_0.875Cl_3,arun,1.34,0.94,0.17,0,0,1,0,0,0,0,0,0.125,0.875,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.098,112.95,1.219,7.414,1.966,47.75,1.81,35.45,3.617,12.968,3.16,17
288,CsGe_0.125Pb_0.875Cl_3,arun,1.42,2.02,0.11,0,0,1,0,0,0,0,0,0.125,0,0.875,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.133,190.204,0.484,7.477,2.29,75.75,1.81,35.45,3.617,12.968,3.16,17
289,KCa_0.125Ge_0.875I_3,arun,2.83,0.84,0.21,1,0,0,0,0,0.125,0,0,0.875,0,0,0,0,1,5,FALSE,1,0,0,0,1.51,39.09,0,0.764,68.561,1.181,7.677,1.884,30.5,1.98,126.9,3.06,10.451,2.66,53
290,FACa_0.125Sr_0.375Ba_0.125Sn_0.125Pb_0.25I_3,arun,-0.39,2.85,0.04,0,0,0,0,1,0.125,0.375,0.125,0,0.125,0.25,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.178,121.623,0.24,6.324,1.42,50.5,1.98,126.9,3.06,10.451,2.66,53
291,FACa_0.125Pb_0.875I_3,arun,-0.41,2,0.17,0,0,0,0,1,0.125,0,0,0,0,0.875,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.166,186.135,0.315,7.254,2.164,74.25,1.98,126.9,3.06,10.451,2.66,53
292,MABa_0.125Sn_0.875I_3,arun,-0.09,1.11,0.23,0,0,0,1,0,0,0,0.125,0,0.875,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.175,121.038,1.05,7.078,1.826,50.75,1.98,126.9,3.06,10.451,2.66,53
293,MABa_0.5Ge_0.5Br_3,arun,0.08,3.38,0.01,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.04,104.98,0.675,6.556,1.45,44,1.96,79.9,3.365,11.814,2.96,35
294,MASr_0.5Pb_0.5Cl_3,arun,-0.06,4.37,0,0,0,0,1,0,0,0.5,0,0,0,0.5,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.185,147.31,0.18,6.556,1.64,60,1.81,35.45,3.617,12.968,3.16,17
295,MASr_0.125Pb_0.875Cl_3,arun,-0.14,2.64,0.05,0,0,0,1,0,0,0.125,0,0,0,0.875,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.189,192.078,0.315,7.202,2.158,76.5,1.81,35.45,3.617,12.968,3.16,17
296,FACa_0.5Sn_0.5Cl_3,arun,-0.87,3.79,0,0,0,0,0,1,0.5,0,0,0,0.5,0,1,0,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.075,79.395,0.6,6.729,1.48,35,1.81,35.45,3.617,12.968,3.16,17
297,FASr_0.875Pb_0.125I_3,arun,-0.46,3.16,0.01,0,0,0,0,1,0,0.875,0,0,0,0.125,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.181,102.543,0.045,5.91,1.123,43.5,1.98,126.9,3.06,10.451,2.66,53
298,FACa_0.5Sr_0.5Cl_3,arun,-0.68,4.47,0,0,0,0,0,1,0.5,0.5,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.09,63.85,0,5.904,0.975,29,1.81,35.45,3.617,12.968,3.16,17
299,FASr_0.875Sn_0.125Br_3,arun,-0.61,3.56,0.01,0,0,0,0,1,0,0.875,0,0,0.125,0,0,1,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.176,91.506,0.15,5.901,1.076,39.5,1.96,79.9,3.365,11.814,2.96,35
300,FASr_0.5Ba_0.5Cl_3,arun,-0.59,4.31,0,0,0,0,0,1,0,0.5,0.5,0,0,0,1,0,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.265,112.475,0,5.454,0.92,47,1.81,35.45,3.617,12.968,3.16,17
301,FABa_0.5Sn_0.375Pb_0.125Cl_3,arun,-0.86,3.64,0,0,0,0,0,1,0,0,0.5,0,0.375,0.125,1,0,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.255,139.056,0.495,6.287,1.471,57,1.81,35.45,3.617,12.968,3.16,17
302,MACa_0.125Pb_0.875I_3,arun,0.05,1.9,0.18,0,0,0,1,0,0.125,0,0,0,0,0.875,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.166,186.135,0.315,7.254,2.164,74.25,1.98,126.9,3.06,10.451,2.66,53
303,MASr_0.125Pb_0.875I_3,arun,0.04,1.94,0.17,0,0,0,1,0,0,0.125,0,0,0,0.875,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.189,192.078,0.315,7.202,2.158,76.5,1.98,126.9,3.06,10.451,2.66,53
304,MAGe_0.125Pb_0.875I_3,arun,0.03,1.7,0.2,0,0,0,1,0,0,0,0,0.125,0,0.875,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.133,190.204,0.484,7.477,2.29,75.75,1.98,126.9,3.06,10.451,2.66,53
305,MASn_0.125Pb_0.875I_3,arun,0.01,1.55,0.2,0,0,0,1,0,0,0,0,0,0.125,0.875,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.185,195.964,0.465,7.408,2.284,78,1.98,126.9,3.06,10.451,2.66,53
306,MACa_0.125Pb_0.875Br_3,arun,-0.13,2.14,0.11,0,0,0,1,0,0.125,0,0,0,0,0.875,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.166,186.135,0.315,7.254,2.164,74.25,1.96,79.9,3.365,11.814,2.96,35
307,MASr_0.125Pb_0.875Br_3,arun,-0.13,2.17,0.11,0,0,0,1,0,0,0.125,0,0,0,0.875,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.189,192.078,0.315,7.202,2.158,76.5,1.96,79.9,3.365,11.814,2.96,35
308,MAGe_0.125Pb_0.875Br_3,arun,-0.15,2.08,0.12,0,0,0,1,0,0,0,0,0.125,0,0.875,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.133,190.204,0.484,7.477,2.29,75.75,1.96,79.9,3.365,11.814,2.96,35
309,MASn_0.125Pb_0.875Br_3,arun,-0.16,1.8,0.14,0,0,0,1,0,0,0,0,0,0.125,0.875,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.185,195.964,0.465,7.408,2.284,78,1.96,79.9,3.365,11.814,2.96,35
310,MACa_0.125Pb_0.875Cl_3,arun,-0.15,2.68,0.04,0,0,0,1,0,0.125,0,0,0,0,0.875,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.166,186.135,0.315,7.254,2.164,74.25,1.81,35.45,3.617,12.968,3.16,17
311,MABa_0.125Pb_0.875Cl_3,arun,-0.11,2.74,0.04,0,0,0,1,0,0,0,0.125,0,0,0.875,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.21,198.291,0.315,7.141,2.15,78.75,1.81,35.45,3.617,12.968,3.16,17
312,MAGe_0.125Pb_0.875Cl_3,arun,-0.17,2.39,0.08,0,0,0,1,0,0,0,0,0.125,0,0.875,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.133,190.204,0.484,7.477,2.29,75.75,1.81,35.45,3.617,12.968,3.16,17
313,MASn_0.125Pb_0.875Cl_3,arun,-0.18,2.21,0.08,0,0,0,1,0,0,0,0,0,0.125,0.875,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.185,195.964,0.465,7.408,2.284,78,1.81,35.45,3.617,12.968,3.16,17
314,CsCaI_0.75Br_2.25,arun,-0.03,4.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0.75,0.25,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.965,91.65,3.289,11.473,2.885,39.5
315,CsSnI_1.875Br_1.125,arun,-0.13,0.55,0.11,0,0,1,0,0,0,0,0,0,1,0,0,0.375,0.625,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.973,109.275,3.174,10.962,2.773,46.25
316,CsPbI_0.75Br_2.25,arun,-0.04,1.62,0.17,0,0,1,0,0,0,0,0,0,0,1,0,0.75,0.25,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.965,91.65,3.289,11.473,2.885,39.5
317,CsSrI_2.25Br_0.75,arun,0.11,3.6,0,0,0,1,0,0,0,1,0,0,0,0,0,0.25,0.75,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.975,115.15,3.136,10.792,2.735,48.5
318,CsPbBr_2.625Cl_0.375,arun,0.46,1.78,0.14,0,0,1,0,0,0,0,0,0,0,1,0.125,0.875,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.941,74.344,3.397,11.958,2.985,32.75
319,CsGeBr_1.5Cl_1.5,arun,1.26,1.62,0.16,0,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.885,57.675,3.491,12.391,3.06,26
320,CsSrI_0.75Br_2.25,arun,0.13,3.85,0,0,0,1,0,0,0,1,0,0,0,0,0,0.75,0.25,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.965,91.65,3.289,11.473,2.885,39.5
321,CsCaBr_0.75Cl_2.25,arun,1.39,4.93,0,0,0,1,0,0,1,0,0,0,0,0,0.75,0.25,0,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.848,46.563,3.554,12.68,3.11,21.5
322,CsBaBr_1.125Cl_1.875,arun,1.96,4.19,0,0,0,1,0,0,0,0,1,0,0,0,0.625,0.375,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.866,52.119,3.523,12.535,3.085,23.75
323,CsSnI_0.75Br_2.25,arun,-0.18,0.5,0.09,0,0,1,0,0,0,0,0,0,1,0,0,0.75,0.25,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.965,91.65,3.289,11.473,2.885,39.5
324,CsCaI_1.125Br_1.875,arun,0.03,3.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0.625,0.375,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.968,97.525,3.251,11.303,2.848,41.75
325,CsSnBr_0.375Cl_2.625,arun,1.38,0.91,0.15,0,0,1,0,0,0,0,0,0,1,0,0.875,0.125,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.829,41.006,3.586,12.824,3.135,19.25
326,CsPbI_0.375Br_2.625,arun,-0.1,1.69,0.15,0,0,1,0,0,0,0,0,0,0,1,0,0.875,0.125,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.963,85.775,3.327,11.644,2.923,37.25
327,CsSnBr_1.875Cl_1.125,arun,1.42,0.68,0.12,0,0,1,0,0,0,0,0,0,1,0,0.375,0.625,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.904,63.231,3.46,12.247,3.035,28.25
328,CsSrBr_2.625Cl_0.375,arun,0.56,4.19,0,0,0,1,0,0,0,1,0,0,0,0,0.125,0.875,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.941,74.344,3.397,11.958,2.985,32.75
329,MASrBr_1.125Cl_1.875,arun,0.11,4.73,0,0,0,0,1,0,0,1,0,0,0,0,0.625,0.375,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.866,52.119,3.523,12.535,3.085,23.75
330,RbGeBr_1.5Cl_1.5,arun,-0.14,0.77,0.15,0,1,0,0,0,0,0,0,1,0,0,0.5,0.5,0,5,FALSE,1,0,0,0,1.61,85.468,0,0.73,72.63,1.35,7.9,2.01,32,1.885,57.675,3.491,12.391,3.06,26
331,RbSrBr_1.5Cl_1.5,arun,0.29,4.09,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0.5,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.18,87.62,0,5.695,0.95,38,1.885,57.675,3.491,12.391,3.06,26
332,KCaI_1.875Br_1.125,arun,2.88,3.26,0,1,0,0,0,0,1,0,0,0,0,0,0,0.375,0.625,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.973,109.275,3.174,10.962,2.773,46.25
333,RbSnBr_1.875Cl_1.125,arun,-0.03,0.62,0.11,0,1,0,0,0,0,0,0,0,1,0,0.375,0.625,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.904,63.231,3.46,12.247,3.035,28.25
334,MACaI_2.25Br_0.75,arun,0.13,3.66,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25,0.75,5,FALSE,1,0,0,0,2.17,32.07,2.3,1,40.08,0,6.113,1,20,1.975,115.15,3.136,10.792,2.735,48.5
335,RbPbI_1.5Br_1.5,arun,2.41,1.53,0.19,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.5,5,FALSE,1,0,0,0,1.61,85.468,0,1.19,207,0.36,7.417,2.33,82,1.97,103.4,3.213,11.133,2.81,44
336,RbPbI_2.625Br_0.375,arun,2.5,1.45,0.2,0,1,0,0,0,0,0,0,0,0,1,0,0.125,0.875,5,FALSE,1,0,0,0,1.61,85.468,0,1.19,207,0.36,7.417,2.33,82,1.978,121.025,3.098,10.621,2.698,50.75
337,RbGeI_0.375Br_2.625,arun,0.73,0.61,0.12,0,1,0,0,0,0,0,0,1,0,0,0,0.875,0.125,5,FALSE,1,0,0,0,1.61,85.468,0,0.73,72.63,1.35,7.9,2.01,32,1.963,85.775,3.327,11.644,2.923,37.25
338,MAGeI_0.375Br_2.625,arun,-0.2,1.98,0.13,0,0,0,1,0,0,0,0,1,0,0,0,0.875,0.125,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.963,85.775,3.327,11.644,2.923,37.25
339,KGeBr_2.25Cl_0.75,arun,1.95,0.62,0.12,1,0,0,0,0,0,0,0,1,0,0,0.25,0.75,0,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.923,68.788,3.428,12.103,3.01,30.5
